127.0.0.1 - - [02/Mar/2018:10:26:57 +0530] "GET / HTTP/1.1" 404 1070
127.0.0.1 - - [02/Mar/2018:10:27:00 +0530] "GET /AngularJS3/testService.html HTTP/1.1" 200 537
127.0.0.1 - - [02/Mar/2018:10:27:01 +0530] "GET /AngularJS3/lib/angular-mocks.js HTTP/1.1" 200 122306
127.0.0.1 - - [02/Mar/2018:10:27:01 +0530] "GET /AngularJS3/lib/angular.js HTTP/1.1" 200 1284319
127.0.0.1 - - [02/Mar/2018:10:27:01 +0530] "GET /AngularJS3/JSPS/testService.js HTTP/1.1" 200 1000
127.0.0.1 - - [02/Mar/2018:10:30:37 +0530] "GET /AngularJS3/testService.html HTTP/1.1" 200 537
127.0.0.1 - - [02/Mar/2018:10:30:38 +0530] "GET /AngularJS3/lib/angular.js HTTP/1.1" 200 1284319
127.0.0.1 - - [02/Mar/2018:10:30:38 +0530] "GET /AngularJS3/lib/angular-mocks.js HTTP/1.1" 200 122306
127.0.0.1 - - [02/Mar/2018:10:30:38 +0530] "GET /AngularJS3/JSPS/testService.js HTTP/1.1" 200 412
127.0.0.1 - - [02/Mar/2018:10:30:38 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [02/Mar/2018:10:30:38 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
