127.0.0.1 - - [28/Jan/2018:12:14:49 +0530] "GET / HTTP/1.1" 404 1070
127.0.0.1 - - [28/Jan/2018:12:14:51 +0530] "GET /AngularJS/panValid.html HTTP/1.1" 200 881
127.0.0.1 - - [28/Jan/2018:12:14:51 +0530] "GET /AngularJS/lib/angular.js HTTP/1.1" 200 1284319
127.0.0.1 - - [28/Jan/2018:12:14:51 +0530] "GET /AngularJS/JSPS/panValid.js HTTP/1.1" 200 437
127.0.0.1 - - [28/Jan/2018:12:14:51 +0530] "GET /AngularJS/css/panValid.css HTTP/1.1" 200 516
127.0.0.1 - - [28/Jan/2018:12:15:58 +0530] "GET /AngularJS/panValid.html HTTP/1.1" 200 881
127.0.0.1 - - [28/Jan/2018:12:15:58 +0530] "GET /AngularJS/JSPS/panValid.js HTTP/1.1" 200 437
127.0.0.1 - - [28/Jan/2018:12:15:58 +0530] "GET /AngularJS/css/panValid.css HTTP/1.1" 200 516
127.0.0.1 - - [28/Jan/2018:12:15:58 +0530] "GET /AngularJS/lib/angular.js HTTP/1.1" 200 1284319
127.0.0.1 - - [28/Jan/2018:12:15:58 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [28/Jan/2018:12:15:58 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [28/Jan/2018:12:33:19 +0530] "GET /AngularJS/panValid.html HTTP/1.1" 200 953
127.0.0.1 - - [28/Jan/2018:12:33:19 +0530] "GET /AngularJS/lib/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [28/Jan/2018:12:33:19 +0530] "GET /AngularJS/JSPS/panValid.js HTTP/1.1" 200 662
127.0.0.1 - - [28/Jan/2018:12:33:19 +0530] "GET /AngularJS/css/panValid.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Jan/2018:12:45:51 +0530] "GET /AngularJS/panValid.html HTTP/1.1" 200 955
127.0.0.1 - - [28/Jan/2018:12:45:52 +0530] "GET /AngularJS/css/panValid.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Jan/2018:12:45:52 +0530] "GET /AngularJS/lib/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [28/Jan/2018:12:45:52 +0530] "GET /AngularJS/JSPS/panValid.js HTTP/1.1" 200 662
127.0.0.1 - - [28/Jan/2018:12:47:08 +0530] "GET /AngularJS/panValid.html HTTP/1.1" 200 950
127.0.0.1 - - [28/Jan/2018:12:47:09 +0530] "GET /AngularJS/lib/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [28/Jan/2018:12:47:09 +0530] "GET /AngularJS/css/panValid.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Jan/2018:12:47:09 +0530] "GET /AngularJS/JSPS/panValid.js HTTP/1.1" 304 -
127.0.0.1 - - [28/Jan/2018:12:47:56 +0530] "GET /AngularJS/panValid.html HTTP/1.1" 200 943
127.0.0.1 - - [28/Jan/2018:12:47:56 +0530] "GET /AngularJS/lib/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [28/Jan/2018:12:47:56 +0530] "GET /AngularJS/css/panValid.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Jan/2018:12:47:56 +0530] "GET /AngularJS/JSPS/panValid.js HTTP/1.1" 304 -
127.0.0.1 - - [28/Jan/2018:12:48:23 +0530] "GET /AngularJS/panValid.html HTTP/1.1" 304 -
127.0.0.1 - - [28/Jan/2018:12:48:23 +0530] "GET /AngularJS/lib/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [28/Jan/2018:12:48:23 +0530] "GET /AngularJS/JSPS/panValid.js HTTP/1.1" 200 666
127.0.0.1 - - [28/Jan/2018:12:48:23 +0530] "GET /AngularJS/css/panValid.css HTTP/1.1" 304 -
