127.0.0.1 - - [23/Feb/2018:23:24:53 +0530] "GET / HTTP/1.1" 404 1070
127.0.0.1 - - [23/Feb/2018:23:24:56 +0530] "GET /AngularJS2/serviceToGet.html HTTP/1.1" 200 692
127.0.0.1 - - [23/Feb/2018:23:24:56 +0530] "GET /AngularJS2/lib/angular.js HTTP/1.1" 200 1284319
127.0.0.1 - - [23/Feb/2018:23:24:56 +0530] "GET /AngularJS2/JSPS/serviceToGet.js HTTP/1.1" 200 797
127.0.0.1 - - [23/Feb/2018:23:24:56 +0530] "GET /AngularJS2/css/panValid.css HTTP/1.1" 200 516
127.0.0.1 - - [23/Feb/2018:23:25:14 +0530] "GET /AngularJS2/serviceToGet.html HTTP/1.1" 200 692
127.0.0.1 - - [23/Feb/2018:23:25:14 +0530] "GET /AngularJS2/lib/angular.js HTTP/1.1" 200 1284319
127.0.0.1 - - [23/Feb/2018:23:25:14 +0530] "GET /AngularJS2/JSPS/serviceToGet.js HTTP/1.1" 200 797
127.0.0.1 - - [23/Feb/2018:23:25:14 +0530] "GET /AngularJS2/css/panValid.css HTTP/1.1" 200 516
127.0.0.1 - - [23/Feb/2018:23:25:14 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [23/Feb/2018:23:25:14 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [23/Feb/2018:23:25:17 +0530] "GET /AngularJS2/json/customer.html HTTP/1.1" 200 1480
127.0.0.1 - - [23/Feb/2018:23:26:41 +0530] "GET /AngularJS2/serviceToGet.html HTTP/1.1" 200 708
127.0.0.1 - - [23/Feb/2018:23:26:42 +0530] "GET /AngularJS2/JSPS/serviceToGet.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Feb/2018:23:26:42 +0530] "GET /AngularJS2/css/panValid.css HTTP/1.1" 304 -
127.0.0.1 - - [23/Feb/2018:23:26:42 +0530] "GET /AngularJS2/lib/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Feb/2018:23:28:10 +0530] "GET /AngularJS2/serviceToGet.html HTTP/1.1" 304 -
127.0.0.1 - - [23/Feb/2018:23:30:41 +0530] "GET /AngularJS2/serviceToGet.html HTTP/1.1" 304 -
127.0.0.1 - - [23/Feb/2018:23:31:00 +0530] "GET /AngularJS2/json/customer.html HTTP/1.1" 404 1099
127.0.0.1 - - [23/Feb/2018:23:31:01 +0530] "GET /AngularJS2/json/customer.html HTTP/1.1" 404 1099
127.0.0.1 - - [23/Feb/2018:23:31:01 +0530] "GET /AngularJS2/json/customer.html HTTP/1.1" 404 1099
127.0.0.1 - - [23/Feb/2018:23:31:01 +0530] "GET /AngularJS2/json/customer.html HTTP/1.1" 404 1099
127.0.0.1 - - [23/Feb/2018:23:31:02 +0530] "GET /AngularJS2/json/customer.html HTTP/1.1" 404 1099
127.0.0.1 - - [23/Feb/2018:23:31:02 +0530] "GET /AngularJS2/json/customer.html HTTP/1.1" 404 1099
127.0.0.1 - - [23/Feb/2018:23:31:02 +0530] "GET /AngularJS2/json/customer.html HTTP/1.1" 404 1099
127.0.0.1 - - [23/Feb/2018:23:31:02 +0530] "GET /AngularJS2/json/customer.html HTTP/1.1" 404 1099
127.0.0.1 - - [23/Feb/2018:23:31:02 +0530] "GET /AngularJS2/json/customer.html HTTP/1.1" 404 1099
127.0.0.1 - - [23/Feb/2018:23:31:03 +0530] "GET /AngularJS2/json/customer.html HTTP/1.1" 404 1099
127.0.0.1 - - [23/Feb/2018:23:31:03 +0530] "GET /AngularJS2/json/customer.html HTTP/1.1" 404 1099
127.0.0.1 - - [23/Feb/2018:23:31:03 +0530] "GET /AngularJS2/json/customer.html HTTP/1.1" 404 1099
127.0.0.1 - - [23/Feb/2018:23:31:04 +0530] "GET /AngularJS2/json/customer.html HTTP/1.1" 404 1099
127.0.0.1 - - [23/Feb/2018:23:31:04 +0530] "GET /AngularJS2/json/customer.html HTTP/1.1" 404 1099
127.0.0.1 - - [23/Feb/2018:23:31:04 +0530] "GET /AngularJS2/json/customer.html HTTP/1.1" 404 1099
127.0.0.1 - - [23/Feb/2018:23:31:04 +0530] "GET /AngularJS2/json/customer.html HTTP/1.1" 404 1099
127.0.0.1 - - [23/Feb/2018:23:31:05 +0530] "GET /AngularJS2/json/customer.html HTTP/1.1" 404 1099
127.0.0.1 - - [23/Feb/2018:23:31:05 +0530] "GET /AngularJS2/json/customer.html HTTP/1.1" 404 1099
127.0.0.1 - - [23/Feb/2018:23:31:05 +0530] "GET /AngularJS2/json/customer.html HTTP/1.1" 404 1099
127.0.0.1 - - [23/Feb/2018:23:31:05 +0530] "GET /AngularJS2/json/customer.html HTTP/1.1" 404 1099
127.0.0.1 - - [23/Feb/2018:23:31:06 +0530] "GET /AngularJS2/json/customer.html HTTP/1.1" 404 1099
127.0.0.1 - - [23/Feb/2018:23:31:06 +0530] "GET /AngularJS2/json/customer.html HTTP/1.1" 404 1099
127.0.0.1 - - [23/Feb/2018:23:31:06 +0530] "GET /AngularJS2/json/customer.html HTTP/1.1" 404 1099
127.0.0.1 - - [23/Feb/2018:23:31:07 +0530] "GET /AngularJS2/json/customer.html HTTP/1.1" 404 1099
127.0.0.1 - - [23/Feb/2018:23:31:07 +0530] "GET /AngularJS2/json/customer.html HTTP/1.1" 404 1099
127.0.0.1 - - [23/Feb/2018:23:32:15 +0530] "GET /AngularJS2/serviceToGet.html HTTP/1.1" 200 730
127.0.0.1 - - [23/Feb/2018:23:32:58 +0530] "GET /AngularJS2/serviceToGet.html HTTP/1.1" 200 709
