127.0.0.1 - - [15/Feb/2018:22:57:52 +0530] "GET / HTTP/1.1" 404 1070
127.0.0.1 - - [15/Feb/2018:22:57:55 +0530] "GET /AngularJS1/browseElement.html HTTP/1.1" 200 861
127.0.0.1 - - [15/Feb/2018:22:57:55 +0530] "GET /AngularJS1/lib/angular.js HTTP/1.1" 200 1284319
127.0.0.1 - - [15/Feb/2018:22:57:55 +0530] "GET /AngularJS1/JSPS/browseElement.js HTTP/1.1" 200 692
127.0.0.1 - - [15/Feb/2018:22:57:55 +0530] "GET /AngularJS1/lib/angular-sanitize.js HTTP/1.1" 200 29716
127.0.0.1 - - [15/Feb/2018:22:57:56 +0530] "GET /AngularJS1/templates/test-rollover.html HTTP/1.1" 200 56
127.0.0.1 - - [15/Feb/2018:22:58:11 +0530] "GET /AngularJS1/browseElement.html HTTP/1.1" 200 861
127.0.0.1 - - [15/Feb/2018:22:58:11 +0530] "GET /AngularJS1/lib/angular.js HTTP/1.1" 200 1284319
127.0.0.1 - - [15/Feb/2018:22:58:11 +0530] "GET /AngularJS1/lib/angular-sanitize.js HTTP/1.1" 200 29716
127.0.0.1 - - [15/Feb/2018:22:58:11 +0530] "GET /AngularJS1/JSPS/browseElement.js HTTP/1.1" 200 692
127.0.0.1 - - [15/Feb/2018:22:58:11 +0530] "GET /AngularJS1/templates/test-rollover.html HTTP/1.1" 200 56
127.0.0.1 - - [15/Feb/2018:22:58:11 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [15/Feb/2018:22:58:11 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [15/Feb/2018:23:17:06 +0530] "GET /AngularJS1/browseElement.html HTTP/1.1" 200 862
127.0.0.1 - - [15/Feb/2018:23:17:07 +0530] "GET /AngularJS1/lib/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Feb/2018:23:17:07 +0530] "GET /AngularJS1/JSPS/browseElement.js HTTP/1.1" 200 695
127.0.0.1 - - [15/Feb/2018:23:17:07 +0530] "GET /AngularJS1/lib/angular-sanitize.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Feb/2018:23:17:07 +0530] "GET /AngularJS1/templates/test-rollover.html HTTP/1.1" 304 -
127.0.0.1 - - [15/Feb/2018:23:33:28 +0530] "GET /AngularJS1/ngIf.html HTTP/1.1" 200 927
127.0.0.1 - - [15/Feb/2018:23:33:28 +0530] "GET /AngularJS1/JSPS/ngIf.js HTTP/1.1" 200 301
127.0.0.1 - - [15/Feb/2018:23:33:38 +0530] "GET /AngularJS1/ngIf.html HTTP/1.1" 200 927
127.0.0.1 - - [15/Feb/2018:23:33:38 +0530] "GET /AngularJS1/JSPS/ngIf.js HTTP/1.1" 200 301
127.0.0.1 - - [15/Feb/2018:23:34:59 +0530] "GET /AngularJS1/ngIf.html HTTP/1.1" 200 938
127.0.0.1 - - [15/Feb/2018:23:34:59 +0530] "GET /AngularJS1/lib/angular-sanitize.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Feb/2018:23:34:59 +0530] "GET /AngularJS1/JSPS/ngIf.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Feb/2018:23:34:59 +0530] "GET /AngularJS1/lib/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Feb/2018:23:35:38 +0530] "GET /AngularJS1/ngIf.html HTTP/1.1" 200 953
127.0.0.1 - - [15/Feb/2018:23:35:38 +0530] "GET /AngularJS1/lib/angular-sanitize.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Feb/2018:23:35:38 +0530] "GET /AngularJS1/lib/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Feb/2018:23:35:38 +0530] "GET /AngularJS1/JSPS/ngIf.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Feb/2018:23:36:09 +0530] "GET /AngularJS1/ngIf.html HTTP/1.1" 200 949
127.0.0.1 - - [15/Feb/2018:23:36:09 +0530] "GET /AngularJS1/JSPS/ngIf.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Feb/2018:23:36:09 +0530] "GET /AngularJS1/lib/angular-sanitize.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Feb/2018:23:36:09 +0530] "GET /AngularJS1/lib/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Feb/2018:23:40:42 +0530] "GET /AngularJS1/ngIf.html HTTP/1.1" 200 958
127.0.0.1 - - [15/Feb/2018:23:40:42 +0530] "GET /AngularJS1/lib/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Feb/2018:23:40:42 +0530] "GET /AngularJS1/lib/angular-sanitize.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Feb/2018:23:40:42 +0530] "GET /AngularJS1/JSPS/ngIf.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Feb/2018:23:45:22 +0530] "GET /AngularJS1/ngIf.html HTTP/1.1" 200 968
127.0.0.1 - - [15/Feb/2018:23:45:22 +0530] "GET /AngularJS1/lib/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Feb/2018:23:45:22 +0530] "GET /AngularJS1/JSPS/ngIf.js HTTP/1.1" 200 258
127.0.0.1 - - [15/Feb/2018:23:45:22 +0530] "GET /AngularJS1/lib/angular-sanitize.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Feb/2018:23:45:25 +0530] "GET /AngularJS1/ngIf.html HTTP/1.1" 304 -
