127.0.0.1 - - [18/Feb/2018:11:00:11 +0530] "GET / HTTP/1.1" 404 1070
127.0.0.1 - - [18/Feb/2018:11:00:14 +0530] "GET /AngularJS2/cache.html HTTP/1.1" 200 1456
127.0.0.1 - - [18/Feb/2018:11:00:14 +0530] "GET /AngularJS2/lib/jquery-1.12.4.js HTTP/1.1" 200 257551
127.0.0.1 - - [18/Feb/2018:11:00:14 +0530] "GET /AngularJS2/lib/angular.js HTTP/1.1" 200 1284319
127.0.0.1 - - [18/Feb/2018:11:00:14 +0530] "GET /AngularJS2/css/panValid.css HTTP/1.1" 200 516
127.0.0.1 - - [18/Feb/2018:11:00:14 +0530] "GET /AngularJS2/lib/angular-sanitize.js HTTP/1.1" 200 29716
127.0.0.1 - - [18/Feb/2018:11:00:14 +0530] "GET /AngularJS2/JSPS/casche.js HTTP/1.1" 200 690
127.0.0.1 - - [18/Feb/2018:11:00:45 +0530] "GET /AngularJS2/cache.html HTTP/1.1" 200 1456
127.0.0.1 - - [18/Feb/2018:11:00:45 +0530] "GET /AngularJS2/lib/jquery-1.12.4.js HTTP/1.1" 200 257551
127.0.0.1 - - [18/Feb/2018:11:00:45 +0530] "GET /AngularJS2/lib/angular.js HTTP/1.1" 200 1284319
127.0.0.1 - - [18/Feb/2018:11:00:45 +0530] "GET /AngularJS2/lib/angular-sanitize.js HTTP/1.1" 200 29716
127.0.0.1 - - [18/Feb/2018:11:00:45 +0530] "GET /AngularJS2/JSPS/casche.js HTTP/1.1" 200 690
127.0.0.1 - - [18/Feb/2018:11:00:45 +0530] "GET /AngularJS2/css/panValid.css HTTP/1.1" 200 516
127.0.0.1 - - [18/Feb/2018:11:00:46 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [18/Feb/2018:11:07:31 +0530] "GET /AngularJS2/cache.html HTTP/1.1" 200 1458
127.0.0.1 - - [18/Feb/2018:11:07:31 +0530] "GET /AngularJS2/lib/jquery-1.12.4.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Feb/2018:11:07:31 +0530] "GET /AngularJS2/lib/angular-sanitize.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Feb/2018:11:07:31 +0530] "GET /AngularJS2/css/panValid.css HTTP/1.1" 304 -
127.0.0.1 - - [18/Feb/2018:11:07:31 +0530] "GET /AngularJS2/lib/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Feb/2018:11:07:31 +0530] "GET /AngularJS2/JSPS/casche.js HTTP/1.1" 200 690
127.0.0.1 - - [18/Feb/2018:11:08:01 +0530] "GET /AngularJS2/compile.html HTTP/1.1" 200 929
127.0.0.1 - - [18/Feb/2018:11:08:02 +0530] "GET /AngularJS2/lib/jquery.min-1.4.2.js HTTP/1.1" 200 72261
