127.0.0.1 - - [04/Feb/2018:13:54:54 +0530] "GET / HTTP/1.1" 404 1070
127.0.0.1 - - [04/Feb/2018:13:54:58 +0530] "GET /AngularJS/panValid.html HTTP/1.1" 200 1049
127.0.0.1 - - [04/Feb/2018:13:54:58 +0530] "GET /AngularJS/lib/angular.js HTTP/1.1" 200 1284319
127.0.0.1 - - [04/Feb/2018:13:54:58 +0530] "GET /AngularJS/JSPS/panValid.js HTTP/1.1" 200 646
127.0.0.1 - - [04/Feb/2018:13:54:58 +0530] "GET /AngularJS/css/panValid.css HTTP/1.1" 200 516
127.0.0.1 - - [04/Feb/2018:13:55:13 +0530] "GET /AngularJS/panValid.html HTTP/1.1" 200 1049
127.0.0.1 - - [04/Feb/2018:13:55:13 +0530] "GET /AngularJS/lib/angular.js HTTP/1.1" 200 1284319
127.0.0.1 - - [04/Feb/2018:13:55:13 +0530] "GET /AngularJS/JSPS/panValid.js HTTP/1.1" 200 646
127.0.0.1 - - [04/Feb/2018:13:55:13 +0530] "GET /AngularJS/css/panValid.css HTTP/1.1" 200 516
127.0.0.1 - - [04/Feb/2018:13:55:13 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [04/Feb/2018:14:00:00 +0530] "GET /AngularJS/panValid.html HTTP/1.1" 304 -
127.0.0.1 - - [04/Feb/2018:14:00:00 +0530] "GET /AngularJS/lib/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Feb/2018:14:00:00 +0530] "GET /AngularJS/css/panValid.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Feb/2018:14:00:00 +0530] "GET /AngularJS/JSPS/panValid.js HTTP/1.1" 200 648
127.0.0.1 - - [04/Feb/2018:14:00:11 +0530] "GET /AngularJS/panValid.html HTTP/1.1" 304 -
127.0.0.1 - - [04/Feb/2018:14:00:11 +0530] "GET /AngularJS/lib/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Feb/2018:14:00:11 +0530] "GET /AngularJS/JSPS/panValid.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Feb/2018:14:00:12 +0530] "GET /AngularJS/css/panValid.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Feb/2018:14:00:14 +0530] "GET /AngularJS/panValid.html HTTP/1.1" 304 -
