127.0.0.1 - - [10/Jan/2018:21:59:43 +0530] "GET / HTTP/1.1" 404 1070
127.0.0.1 - - [10/Jan/2018:21:59:45 +0530] "GET /AngularJS/validation.html HTTP/1.1" 200 631
127.0.0.1 - - [10/Jan/2018:21:59:45 +0530] "GET /AngularJS/lib/angular.js HTTP/1.1" 200 1284319
127.0.0.1 - - [10/Jan/2018:21:59:45 +0530] "GET /AngularJS/JSPS/validation.js HTTP/1.1" 200 149
127.0.0.1 - - [10/Jan/2018:21:59:54 +0530] "GET /AngularJS/validation.html HTTP/1.1" 200 631
127.0.0.1 - - [10/Jan/2018:21:59:54 +0530] "GET /AngularJS/JSPS/validation.js HTTP/1.1" 200 149
127.0.0.1 - - [10/Jan/2018:21:59:54 +0530] "GET /AngularJS/lib/angular.js HTTP/1.1" 200 1284319
127.0.0.1 - - [10/Jan/2018:21:59:54 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [10/Jan/2018:21:59:54 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [10/Jan/2018:22:09:04 +0530] "GET /AngularJS/validation.html HTTP/1.1" 200 818
127.0.0.1 - - [10/Jan/2018:22:09:05 +0530] "GET /AngularJS/lib/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [10/Jan/2018:22:09:05 +0530] "GET /AngularJS/JSPS/validation.js HTTP/1.1" 304 -
127.0.0.1 - - [10/Jan/2018:22:10:52 +0530] "GET /AngularJS/validation.html HTTP/1.1" 200 910
127.0.0.1 - - [10/Jan/2018:22:10:53 +0530] "GET /AngularJS/JSPS/validation.js HTTP/1.1" 304 -
127.0.0.1 - - [10/Jan/2018:22:10:53 +0530] "GET /AngularJS/lib/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [10/Jan/2018:22:19:09 +0530] "GET /AngularJS/validation.html HTTP/1.1" 200 1017
127.0.0.1 - - [10/Jan/2018:22:19:09 +0530] "GET /AngularJS/lib/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [10/Jan/2018:22:19:09 +0530] "GET /AngularJS/JSPS/validation.js HTTP/1.1" 304 -
127.0.0.1 - - [10/Jan/2018:22:19:37 +0530] "GET /AngularJS/validation.html HTTP/1.1" 200 1031
127.0.0.1 - - [10/Jan/2018:22:19:38 +0530] "GET /AngularJS/lib/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [10/Jan/2018:22:19:38 +0530] "GET /AngularJS/JSPS/validation.js HTTP/1.1" 304 -
