127.0.0.1 - - [09/Mar/2018:22:52:08 +0530] "GET / HTTP/1.1" 404 1070
127.0.0.1 - - [09/Mar/2018:22:52:12 +0530] "GET /AngularJS4/formValidationAnimate.html HTTP/1.1" 200 1200
127.0.0.1 - - [09/Mar/2018:22:52:12 +0530] "GET /AngularJS4/lib/angular.js HTTP/1.1" 200 1284319
127.0.0.1 - - [09/Mar/2018:22:52:12 +0530] "GET /AngularJS4/JSPS/formValidationAnimate.js HTTP/1.1" 200 343
127.0.0.1 - - [09/Mar/2018:22:52:12 +0530] "GET /AngularJS4/css/validation.css HTTP/1.1" 200 651
127.0.0.1 - - [09/Mar/2018:22:52:12 +0530] "GET /AngularJS4/lib/angular-animate.min.js HTTP/1.1" 200 25733
127.0.0.1 - - [09/Mar/2018:23:09:35 +0530] "GET /AngularJS4/formValidationAnimate.html HTTP/1.1" 200 1200
127.0.0.1 - - [09/Mar/2018:23:09:35 +0530] "GET /AngularJS4/lib/angular.js HTTP/1.1" 200 1284319
127.0.0.1 - - [09/Mar/2018:23:09:35 +0530] "GET /AngularJS4/lib/angular-animate.min.js HTTP/1.1" 200 25733
127.0.0.1 - - [09/Mar/2018:23:09:35 +0530] "GET /AngularJS4/JSPS/formValidationAnimate.js HTTP/1.1" 200 343
127.0.0.1 - - [09/Mar/2018:23:09:35 +0530] "GET /AngularJS4/css/validation.css HTTP/1.1" 200 651
127.0.0.1 - - [09/Mar/2018:23:09:35 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [09/Mar/2018:23:09:35 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [09/Mar/2018:23:39:53 +0530] "GET /AngularJS4/ngMessageAnimate.html HTTP/1.1" 200 2086
127.0.0.1 - - [09/Mar/2018:23:39:54 +0530] "GET /AngularJS4/css/ngMessageAnimate.css HTTP/1.1" 200 773
127.0.0.1 - - [09/Mar/2018:23:39:54 +0530] "GET /AngularJS4/lib/angular-messages.js HTTP/1.1" 200 27920
127.0.0.1 - - [09/Mar/2018:23:39:54 +0530] "GET /AngularJS4/JSPS/ngMessageAnimate.js HTTP/1.1" 200 343
127.0.0.1 - - [09/Mar/2018:23:40:44 +0530] "GET /AngularJS4/ngMessageAnimate.html HTTP/1.1" 200 2086
127.0.0.1 - - [09/Mar/2018:23:40:44 +0530] "GET /AngularJS4/lib/angular-messages.js HTTP/1.1" 200 27920
127.0.0.1 - - [09/Mar/2018:23:40:44 +0530] "GET /AngularJS4/css/ngMessageAnimate.css HTTP/1.1" 200 641
127.0.0.1 - - [09/Mar/2018:23:40:44 +0530] "GET /AngularJS4/JSPS/ngMessageAnimate.js HTTP/1.1" 200 343
127.0.0.1 - - [09/Mar/2018:23:41:56 +0530] "GET /AngularJS4/ngMessageAnimate.html HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2018:23:41:56 +0530] "GET /AngularJS4/JSPS/ngMessageAnimate.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2018:23:41:56 +0530] "GET /AngularJS4/css/ngMessageAnimate.css HTTP/1.1" 200 303
127.0.0.1 - - [09/Mar/2018:23:43:18 +0530] "GET /AngularJS4/ngMessageAnimate.html HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2018:23:43:18 +0530] "GET /AngularJS4/JSPS/ngMessageAnimate.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2018:23:43:18 +0530] "GET /AngularJS4/css/ngMessageAnimate.css HTTP/1.1" 200 149
127.0.0.1 - - [09/Mar/2018:23:43:46 +0530] "GET /AngularJS4/ngMessageAnimate.html HTTP/1.1" 200 1787
127.0.0.1 - - [09/Mar/2018:23:43:46 +0530] "GET /AngularJS4/lib/angular-messages.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2018:23:43:46 +0530] "GET /AngularJS4/css/ngMessageAnimate.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2018:23:45:04 +0530] "GET /AngularJS4/ngMessageAnimate.html HTTP/1.1" 200 1708
127.0.0.1 - - [09/Mar/2018:23:45:04 +0530] "GET /AngularJS4/JSPS/ngMessageAnimate.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2018:23:45:04 +0530] "GET /AngularJS4/css/ngMessageAnimate.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2018:23:46:04 +0530] "GET /AngularJS4/ngMessageAnimate.html HTTP/1.1" 200 1583
127.0.0.1 - - [09/Mar/2018:23:46:05 +0530] "GET /AngularJS4/JSPS/ngMessageAnimate.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2018:23:46:05 +0530] "GET /AngularJS4/css/ngMessageAnimate.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2018:23:46:24 +0530] "GET /AngularJS4/ngMessageAnimate.html HTTP/1.1" 200 1587
127.0.0.1 - - [09/Mar/2018:23:46:25 +0530] "GET /AngularJS4/css/ngMessageAnimate.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2018:23:47:30 +0530] "GET /AngularJS4/ngMessageAnimate.html HTTP/1.1" 200 1605
127.0.0.1 - - [09/Mar/2018:23:47:30 +0530] "GET /AngularJS4/lib/angular-messages.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2018:23:47:30 +0530] "GET /AngularJS4/JSPS/ngMessageAnimate.js HTTP/1.1" 304 -
