127.0.0.1 - - [07/Jan/2018:16:25:40 +0530] "GET / HTTP/1.1" 404 1070
127.0.0.1 - - [07/Jan/2018:16:25:44 +0530] "GET /OnlineQuiz/jsps/home.jsp HTTP/1.1" 200 2924
127.0.0.1 - - [07/Jan/2018:16:25:44 +0530] "GET /OnlineQuiz/images/python.jpg HTTP/1.1" 200 40269
127.0.0.1 - - [07/Jan/2018:16:25:44 +0530] "GET /OnlineQuiz/css/styles.css HTTP/1.1" 200 2296
127.0.0.1 - - [07/Jan/2018:16:25:44 +0530] "GET /OnlineQuiz/images/sql-logo.png HTTP/1.1" 200 18783
127.0.0.1 - - [07/Jan/2018:16:25:44 +0530] "GET /OnlineQuiz/images/css.jpg HTTP/1.1" 200 21136
127.0.0.1 - - [07/Jan/2018:16:25:44 +0530] "GET /OnlineQuiz/images/java.png HTTP/1.1" 200 51317
127.0.0.1 - - [07/Jan/2018:16:25:44 +0530] "GET /OnlineQuiz/images/javascript.png HTTP/1.1" 200 28461
127.0.0.1 - - [07/Jan/2018:16:25:44 +0530] "GET /OnlineQuiz/images/mongodb_logo.png HTTP/1.1" 200 228594
127.0.0.1 - - [07/Jan/2018:16:25:44 +0530] "GET /OnlineQuiz/images/php-logo.jpg HTTP/1.1" 200 82305
127.0.0.1 - - [07/Jan/2018:16:25:44 +0530] "GET /OnlineQuiz/images/logo-linux.png HTTP/1.1" 200 42037
127.0.0.1 - - [07/Jan/2018:16:25:45 +0530] "GET /OnlineQuiz/images/background.jpg HTTP/1.1" 200 384275
127.0.0.1 - - [07/Jan/2018:16:26:11 +0530] "GET /OnlineQuiz/jsps/home.jsp HTTP/1.1" 200 2924
127.0.0.1 - - [07/Jan/2018:16:26:11 +0530] "GET /OnlineQuiz/css/styles.css HTTP/1.1" 200 2296
127.0.0.1 - - [07/Jan/2018:16:26:11 +0530] "GET /OnlineQuiz/images/java.png HTTP/1.1" 200 51317
127.0.0.1 - - [07/Jan/2018:16:26:11 +0530] "GET /OnlineQuiz/images/sql-logo.png HTTP/1.1" 200 18783
127.0.0.1 - - [07/Jan/2018:16:26:11 +0530] "GET /OnlineQuiz/images/javascript.png HTTP/1.1" 200 28461
127.0.0.1 - - [07/Jan/2018:16:26:11 +0530] "GET /OnlineQuiz/images/python.jpg HTTP/1.1" 200 40269
127.0.0.1 - - [07/Jan/2018:16:26:11 +0530] "GET /OnlineQuiz/images/logo-linux.png HTTP/1.1" 200 42037
127.0.0.1 - - [07/Jan/2018:16:26:11 +0530] "GET /OnlineQuiz/images/php-logo.jpg HTTP/1.1" 200 82305
127.0.0.1 - - [07/Jan/2018:16:26:11 +0530] "GET /OnlineQuiz/images/css.jpg HTTP/1.1" 200 21136
127.0.0.1 - - [07/Jan/2018:16:26:11 +0530] "GET /OnlineQuiz/images/mongodb_logo.png HTTP/1.1" 200 228594
127.0.0.1 - - [07/Jan/2018:16:26:17 +0530] "GET /OnlineQuiz/images/background.jpg HTTP/1.1" 200 384275
