127.0.0.1 - - [19/Feb/2018:22:04:58 +0530] "GET / HTTP/1.1" 404 1070
127.0.0.1 - - [19/Feb/2018:22:05:02 +0530] "GET /AngularJS2/seviceAndFactory.html HTTP/1.1" 200 1527
127.0.0.1 - - [19/Feb/2018:22:05:02 +0530] "GET /AngularJS2/lib/angular.js HTTP/1.1" 200 1284319
127.0.0.1 - - [19/Feb/2018:22:05:02 +0530] "GET /AngularJS2/JSPS/seviceAndFactory.js HTTP/1.1" 200 997
127.0.0.1 - - [19/Feb/2018:22:05:02 +0530] "GET /AngularJS2/css/panValid.css HTTP/1.1" 200 516
127.0.0.1 - - [19/Feb/2018:22:05:02 +0530] "GET /AngularJS2/lib/angular-sanitize.js HTTP/1.1" 200 29716
127.0.0.1 - - [19/Feb/2018:22:05:16 +0530] "GET /AngularJS2/seviceAndFactory.html HTTP/1.1" 200 1527
127.0.0.1 - - [19/Feb/2018:22:05:17 +0530] "GET /AngularJS2/lib/angular.js HTTP/1.1" 200 1284319
127.0.0.1 - - [19/Feb/2018:22:05:17 +0530] "GET /AngularJS2/lib/angular-sanitize.js HTTP/1.1" 200 29716
127.0.0.1 - - [19/Feb/2018:22:05:17 +0530] "GET /AngularJS2/JSPS/seviceAndFactory.js HTTP/1.1" 200 997
127.0.0.1 - - [19/Feb/2018:22:05:17 +0530] "GET /AngularJS2/css/panValid.css HTTP/1.1" 200 516
127.0.0.1 - - [19/Feb/2018:22:05:17 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [19/Feb/2018:22:05:17 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
127.0.0.1 - - [19/Feb/2018:22:40:27 +0530] "GET /AngularJS/json.html HTTP/1.1" 404 1089
127.0.0.1 - - [19/Feb/2018:22:40:44 +0530] "GET /AngularJS/jason.html HTTP/1.1" 200 419
127.0.0.1 - - [19/Feb/2018:22:40:44 +0530] "GET /AngularJS/lib/angular.js HTTP/1.1" 200 1284319
127.0.0.1 - - [19/Feb/2018:22:40:44 +0530] "GET /AngularJS/JSPS/jason.js HTTP/1.1" 200 361
127.0.0.1 - - [19/Feb/2018:22:40:56 +0530] "GET /AngularJS/jason.html HTTP/1.1" 200 419
127.0.0.1 - - [19/Feb/2018:22:40:56 +0530] "GET /AngularJS/lib/angular.js HTTP/1.1" 200 1284319
127.0.0.1 - - [19/Feb/2018:22:40:56 +0530] "GET /AngularJS/JSPS/jason.js HTTP/1.1" 200 361
127.0.0.1 - - [19/Feb/2018:22:45:06 +0530] "GET /AngularJS2/json/json.html HTTP/1.1" 200 420
